file_name,caption
r1nicOVtvkQ_130000.wav,A woman talks nearby as water pours
UDGBjjwyaqE_20000.wav,Multiple clanging and clanking sounds
3eJ9RynJzP8_80000.wav,"The wind is blowing, insects are singing, and rustling occurs"
3eK62q7SnVU_390000.wav,The wind is blowing and rustling occurs
3eGXNIadwGk_30000.wav,Person is whistling
3eHYGSux1Ps_30000.wav,"A motorboat cruises along, and a man talks"
3eNWJ4Hle6Y_210000.wav,The sizzling of food while a dish is clanking
3eQYsDrfsTc_20000.wav,Someone has a hiccup while typing
3eL37ZUN5S4_21000.wav,Aircraft engine hum with man and woman speaking
3eN7ujFJzXQ_170000.wav,Hissing followed by clanking dishes and speech
pgeooj3u3CM_200000.wav,A woman is talking the whole time something is sprayed a few times in the middle
pgl_pG7j7d8_170000.wav,A man talks nearby as water pours out of a faucet
3eSIVCoTR2I_210000.wav,Crackling noise precedes a fly buzzing
3eZrNSkyUmA_30000.wav,A dog whimpers quietly
1OIVJfQTGVk_30000.wav,Engine revving loudly
1OIm8vLHCwo_19000.wav,An adult female speaks and a cat meows
77gagnj481E_30000.wav,Child giving a speech and crowd clapping
77fnehVF7wE_1000.wav,A dog barks twice and then whimpers
1O662rM-u0E_30000.wav,A whoosh sound is heard loudly as a car revs its engines
1O7-QuhweZE_19000.wav,Children screaming in the background as the sound of water flowing by
1O2vHreD6eI_60000.wav,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
1O5u-mBU2JI_30000.wav,"A man speaking in a foreign language, can hear doves in the background"
1OCyUeuv2-Q_40000.wav,Men speaking then sneezing
1OI6GPNHhLg_30000.wav,A man speaks slowly and with strength
1OB2TC-aAqY_30000.wav,A horse galloping
1OCv1wCGK-s_30000.wav,"A child screams, an adult male is talking and vehicles are revving"
kZ7_b_VVumc_140000.wav,Splashing water with children speaking
vvbK4KaEOTc_30000.wav,Humming of an engine accelerating and revving
OWhT0Gs-_q8_30000.wav,Several explosions burst nearby as people grunt loudly
ld9qe2J9Huk_80000.wav,Someone snores briefly
oy2b5i_4-20_0.wav,A woman talking and then a cat meowing
DJVEiFFUB6g_250000.wav,A woman talks while frying something
oxs8A0Cdwwc_30000.wav,Crashing waves and a gust of wind
MDoHzN4CYYg_11000.wav,Humming and vibrating of a motor
kxZQJiOLSqE_20000.wav,Honking of a horn of a passing train
kxirwP8Idn0_20000.wav,A man speaks then coughs followed by laughter
MDSDhWhWfL8_140000.wav,A train running followed by a train horn
MDRJ8icmjgI_350000.wav,A domestic animal is snoring and breathing loudly
R8pcOO_A2uE_0.wav,Someone whistles nearby
vfbOX5T8YDk_30000.wav,Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble
Bals78LmH5w_150000.wav,Children speak and laugh with a man
RmJE9uVdgAk_23000.wav,A man yelling and ducks in the background
-5weqk40jaI_17000.wav,Strong wind against the microphone simultaneously with heavy rain.
7PFt6ML7enY_50000.wav,A child cries and yells and an adult speaks in response
7PBpJ4Uizfw_30000.wav,Several sirens are wailing and a horn is honked twice
-62RXhX5GZk_30000.wav,A dog grunts and an adult male speaks
-64ZmjOBlE8_20000.wav,Water being turned on and off
-65gZY_yF3o_17000.wav,Helicopter rotors drumming and squeaking bird
-668dhzzDQE_30000.wav,Car engine sound in car race
-67q0yYR0zk_24000.wav,People in a small crowd are speaking and a dog barks
-68677bCJWM_16000.wav,Distressed cat growling and hissing violently while woman laughs and talks
-68L7q5JlL4_30000.wav,Wind against a microphone on a speeding car
5sfQQb6HpSc_210000.wav,A whistle and another man speaks and the whistling stops.
5seYj-vSnEc_140000.wav,"Two men exchange words, then a car engine revs followed by a siren and fade in music"
5sWgFNwk5zY_20000.wav,Someone fires a gun with others talking in the background
5sTt2AMCjSA_30000.wav,A car is racing away very fast and its tires squeal a little
5sZnJLp9We4_2000.wav,A loud siren whizzes past
5sXK2pdYAwg_20000.wav,A woman hiccups and then women laugh and speak
ogXzNVUU3Xk_20000.wav,"Coughing by woman and child, then woman and child speaking"
3qPzSfovVmk_70000.wav,Truck engine running then a dragging noise
3qPBmioT8Fo_30000.wav,"A dog is whining and whimpering, and an adult male is speaking"
og_JH9cxUeg_30000.wav,Small frogs croak and chirp
3qNSaQnzWUs_30000.wav,"The wind is blowing, a horse is trotting, and an adult male speaks"
3qKmsP6BPXM_30000.wav,A car engine revving
3qOswVO4sb0_30000.wav,A man is speaking
3qOK68-L2cU_140000.wav,"An aircraft begins its takeoff, buzzing of small engines"
3qA8qMYz3Xw_30000.wav,"A crowd is cheering and shouting, thumping occurs, an adult female speaks, and an adult male speaks"
3q94RIeQJ9Q_30000.wav,"An adult female speaks, tapping occurs, and a dog barks"
3qKKDuwStA8_40000.wav,A person is speaking and crumpling paper
3qC6_t1bjjw_21000.wav,"Two adult females are speaking, a dog is panting, a squeak occurs, and whistling occurs"
689OVglGxKE_30000.wav,A vehicle revs then explodes while a crowd cheers and an announcer exclaims
68AJ_1alYNg_310000.wav,Man speaks while bees buzz
xpRBnXZnRm0_370000.wav,A man speaking followed by crinkling
YkWrXaJNpn4_320000.wav,A power tool hums and vibrates
xpF_Jeaj7cs_6000.wav,"A man speaking followed by a swoosh then a loud splash, then a man laughs"
YkQ12wpHeUc_0.wav,Several birds tweet
xpCI-rEY1kM_140000.wav,A woman speaking with music playing and a toilet flushing
xpE3LXuhJS8_210000.wav,Vibrations and humming of a power drill
67qTV1MDXhc_100000.wav,A bell chiming
67r_mSftdjk_30000.wav,A woman giving a speech
67rvn9HIZsM_10000.wav,The chirping of multiple birds accompanies gurgling water and crunching footsteps
67tVU2CeweE_30000.wav,A domestic bird whistling
67yhKQpwvjo_30000.wav,"People speak followed by spraying, then a phone rings"
67zyxZb-wQM_340000.wav,A round of applause followed by a woman speaking
6813SgG-6Rk_8000.wav,A door creaks open slowly
6850oZZoeb8_60000.wav,"Traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs"
XbTazhNR5Cc_20000.wav,A kid talks followed by a woman talking while several people laugh
3JNjTAf04rc_30000.wav,People are talking and pig oinks
3JLBP8VnukU_12000.wav,A dog whimpers repeatedly
2i8L8v2NTsY_30000.wav,A man gives a speech
2i8w_CZEprk_0.wav,"Water flowing, wind blowing, a dog whimpers"
3JAjNVImec4_340000.wav,People cheering and race cars racing by
2i82jVZy1pk_100000.wav,"Some unidentified low sound, followed by a child laughter and a female chuckling"
3J9nGJ5dmsI_30000.wav,Motorcycle driving away at high speeds
3J7NzRVaixM_7000.wav,"The wind is blowing, an engine runs, and tires squeal"
2hyT23nJm_4_150000.wav,"A female speaking, then a baby babbling, then a female cheering and clapping, followed by another female laughing and speaking"
2i-sTS4rNgs_30000.wav,A big engine is sitting in idle
2hxTX4mb0bY_30000.wav,"An adult male is speaking, a motor is running, rhythmic vibration, and water is gurgling"
2hxyWkenHI4_270000.wav,"A rapping sound is present and is echoing in a room, and people in a crowd speak in the background"
yuqiS8rSp64_30000.wav,Humming and whooshing of a helicopter hovering close
8Cscq1H9Lng_130000.wav,A vehicle driving and accelerating
8Cpw8deghns_150000.wav,Crinkling noise followed by a man talking
8ClpqdlMMTE_50000.wav,A small dog whimpering and howling
8Cpu6HuZppw_50000.wav,Someone suddenly sneezes out loud
8CpkuIJ1aQg_30000.wav,An adult male is speaking informatively
8CdmbbBcx14_430000.wav,A kid speaking and another kid talks in the background
8C_A2FOG02E_30000.wav,Bell chiming with a vehicle starting up
8Cl-_ONJOes_30000.wav,A man is talking
8Cex_va7-8U_17000.wav,"A horse walks, some wood creaks, and a man talks"
ixaVHv5vqlw_10000.wav,"An adult female snickers quietly while faint snoring is ongoing, and random quiet metal clinking occurs"
77fe_-5zCmM_20000.wav,"An adult male speaks, a meow occurs, then a boom, the male speaks again, and mechanical clicking occurs"
JaFx0FqcMRo_0.wav,Humming of an engine followed by a woman speaking and a burp
LkXhkR4lTS4_30000.wav,A person talking the entire clip
77eV2YFJwgc_50000.wav,A gun is cocked and fired rapidly and cartridges ping against the floor
LkXILk5okJg_200000.wav,Some liquid flows while kitchenware hits
LkPH8_fJ7Ls_120000.wav,A male child speaks and plastic crumples and crinkles
LkQIhNz1o9Q_30000.wav,Someone types on a keyboard
LkNOOWFKHD8_30000.wav,Water splashing and gurgling as people talk
XB-lOd-HH1o_30000.wav,A man talks while different birds tweet
RmAsVtD8qzw_30000.wav,A train hiss loudly
77_C3AMGp1k_160000.wav,Water is filling a basin and a young man is speaking
